Year,Threat_Category,Layer,Severity,Incident_Count,Mitigation_Effectiveness,Reported_Cases
2019,Phishing,PaaS,High,19,5.7,24
2023,Phishing,SaaS,Low,30,5.9,37
2023,Insider Threat,SaaS,Low,21,5.9,9
2024,Malware Injection,PaaS,Medium,57,4.3,68
2023,Phishing,IaaS,Medium,42,6.1,42
2024,Phishing,SaaS,Low,26,6.0,14
2021,Data Breach,PaaS,Low,43,8.2,49
2022,Phishing,IaaS,High,57,4.4,37
2020,Insider Threat,IaaS,Low,20,7.3,19
2021,Phishing,SaaS,Medium,30,4.4,15
2021,Insider Threat,PaaS,Medium,37,4.9,33
2019,Misconfiguration,IaaS,Low,30,6.5,23
2024,Malware Injection,IaaS,Low,17,7.9,16
2019,Misconfiguration,SaaS,Medium,43,5.0,23
2021,DDoS Attack,IaaS,Medium,41,6.3,34
2024,Data Breach,PaaS,Low,22,7.1,21
2022,Container Escape,IaaS,Low,37,5.7,38
2021,Zero-Day Vulnerability,SaaS,Medium,33,6.8,21
2019,DDoS Attack,SaaS,Medium,57,2.6,52
2022,Data Breach,SaaS,Medium,54,4.6,52
2019,Misconfiguration,PaaS,Low,18,7.5,15
2020,Container Escape,IaaS,Low,18,5.4,22
2024,Misconfiguration,IaaS,Medium,8,5.1,6
2021,Phishing,IaaS,Medium,42,10.0,38
2022,Supply Chain Compromise,IaaS,Low,18,6.6,7
2021,Malware Injection,SaaS,Low,1,5.6,1
2019,Zero-Day Vulnerability,PaaS,Medium,67,5.7,82
2024,Zero-Day Vulnerability,IaaS,Medium,35,9.1,39
2024,Container Escape,SaaS,Low,29,7.0,36
2020,Data Breach,IaaS,Low,33,5.3,35
2024,Malware Injection,SaaS,Medium,38,7.7,37
2021,Container Escape,IaaS,Medium,27,5.8,16
2019,Data Breach,SaaS,Low,56,6.6,66
2019,Data Breach,IaaS,Medium,49,4.8,25
2024,DDoS Attack,IaaS,Low,1,8.2,0
2024,Insider Threat,PaaS,Low,31,6.7,33
2023,Data Breach,IaaS,High,64,3.1,53
2022,Insider Threat,SaaS,Low,10,6.2,8
2019,Insider Threat,IaaS,Low,60,7.5,56
2020,API Abuse,SaaS,Medium,40,4.5,19
2020,Malware Injection,SaaS,Low,1,7.0,1
2023,Insider Threat,PaaS,Low,13,8.9,15
2020,Supply Chain Compromise,IaaS,Low,63,5.6,31
2024,DDoS Attack,PaaS,Low,12,9.8,6
2024,API Abuse,IaaS,Low,1,7.0,0
2023,DDoS Attack,IaaS,Low,48,7.9,36
2023,Container Escape,PaaS,High,75,2.7,42
2024,Zero-Day Vulnerability,IaaS,Medium,36,6.2,26
2024,Misconfiguration,IaaS,High,63,4.5,30
2024,Malware Injection,SaaS,High,59,3.2,57
2022,Phishing,IaaS,Medium,61,5.8,49
2023,Container Escape,PaaS,Low,1,6.6,0
2022,Zero-Day Vulnerability,IaaS,Low,28,6.7,28
2020,Zero-Day Vulnerability,SaaS,High,91,7.1,80
2024,Malware Injection,PaaS,High,56,3.5,36
2020,Phishing,IaaS,Medium,56,5.2,27
2022,Phishing,IaaS,High,33,3.9,36
2021,Misconfiguration,SaaS,Medium,35,3.8,32
2019,DDoS Attack,PaaS,Low,40,8.9,32
2023,Misconfiguration,SaaS,Medium,1,8.2,1
2024,Data Breach,IaaS,Low,45,7.8,49
2020,Insider Threat,IaaS,High,59,4.4,42
2022,Container Escape,IaaS,Low,10,8.7,7
2019,Phishing,PaaS,High,70,4.4,51
2022,API Abuse,PaaS,High,96,5.0,93
